,K,S,q,r,sigma,t,price
254,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.75,0.246551003771515
255,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,1.0,0.4513509688357666
256,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.25,0.48102362426227563
257,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.5,1.7603721469839857
258,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.75,3.0453893200396145
259,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,1.0,4.191314273822634
260,52.0,91.1,0.0,0.1441,0.02776319114275506,0.25,0.0
261,52.0,91.1,0.0,0.1441,0.02776319114275506,0.5,1.268470884959351e-229
262,52.0,91.1,0.0,0.1441,0.02776319114275506,0.75,7.886434367222085e-172
263,52.0,91.1,0.0,0.1441,0.02776319114275506,1.0,1.2366025772209687e-143
264,52.0,91.1,0.0,0.1441,0.16424854217092363,0.25,1.3613262077518065e-13
265,52.0,91.1,0.0,0.1441,0.16424854217092363,0.5,3.385181338842185e-08
266,52.0,91.1,0.0,0.1441,0.16424854217092363,0.75,2.348511402400343e-06
267,52.0,91.1,0.0,0.1441,0.16424854217092363,1.0,1.9827292000182102e-05
268,52.0,91.1,0.0,0.1441,0.26544998329566,0.25,6.336907208505004e-06
269,52.0,91.1,0.0,0.1441,0.26544998329566,0.5,0.001203124888546385
270,52.0,91.1,0.0,0.1441,0.26544998329566,0.75,0.007821218335288026
271,52.0,91.1,0.0,0.1441,0.26544998329566,1.0,0.02069544028804546
272,52.0,91.1,0.0,0.1441,0.3874180606791659,0.25,0.003738279436677863
273,52.0,91.1,0.0,0.1441,0.3874180606791659,0.5,0.06421312175615582
274,52.0,91.1,0.0,0.1441,0.3874180606791659,0.75,0.18702672838596615
275,52.0,91.1,0.0,0.1441,0.3874180606791659,1.0,0.33257434474632314
276,52.0,91.1,0.0,0.1441,0.7066863283197075,0.25,0.4436193378018983
277,52.0,91.1,0.0,0.1441,0.7066863283197075,0.5,1.5877068906210139
278,52.0,91.1,0.0,0.1441,0.7066863283197075,0.75,2.6941706335613835
279,52.0,91.1,0.0,0.1441,0.7066863283197075,1.0,3.643019623047256
280,52.0,91.1,0.0,0.1882,0.02776319114275506,0.25,0.0
281,52.0,91.1,0.0,0.1882,0.02776319114275506,0.5,1.1809196539010352e-245
282,52.0,91.1,0.0,0.1882,0.02776319114275506,0.75,6.595016533265647e-189
283,52.0,91.1,0.0,0.1882,0.02776319114275506,1.0,9.318645193814882e-162
284,52.0,91.1,0.0,0.1882,0.16424854217092363,0.25,4.885341629600781e-14
285,52.0,91.1,0.0,0.1882,0.16424854217092363,0.5,1.0974566826237013e-08
286,52.0,91.1,0.0,0.1882,0.16424854217092363,0.75,6.908590476943125e-07
287,52.0,91.1,0.0,0.1882,0.16424854217092363,1.0,5.309402567603362e-06
288,52.0,91.1,0.0,0.1882,0.26544998329566,0.25,4.1846261394078385e-06
289,52.0,91.1,0.0,0.1882,0.26544998329566,0.5,0.0007512546378628675
290,52.0,91.1,0.0,0.1882,0.26544998329566,0.75,0.004638593135725838
291,52.0,91.1,0.0,0.1882,0.26544998329566,1.0,0.01169227895601376
292,52.0,91.1,0.0,0.1882,0.3874180606791659,0.25,0.0030239818207424486
293,52.0,91.1,0.0,0.1882,0.3874180606791659,0.5,0.04999770952568149
294,52.0,91.1,0.0,0.1882,0.3874180606791659,0.75,0.14074867461913237
295,52.0,91.1,0.0,0.1882,0.3874180606791659,1.0,0.24251356592208978
296,52.0,91.1,0.0,0.1882,0.7066863283197075,0.25,0.4088077082164562
297,52.0,91.1,0.0,0.1882,0.7066863283197075,0.5,1.4298899349314873
298,52.0,91.1,0.0,0.1882,0.7066863283197075,0.75,2.37840279776804
299,52.0,91.1,0.0,0.1882,0.7066863283197075,1.0,3.1576765718159643
300,52.0,91.1,0.0,0.0118,0.02776319114275506,0.25,0.0
301,52.0,91.1,0.0,0.0118,0.02776319114275506,0.5,8.236022492148069e-185
302,52.0,91.1,0.0,0.0118,0.02776319114275506,0.75,1.6308439965706815e-125
303,52.0,91.1,0.0,0.0118,0.02776319114275506,1.0,8.096218472940976e-96
304,52.0,91.1,0.0,0.0118,0.16424854217092363,0.25,2.6531683930372544e-12
305,52.0,91.1,0.0,0.0118,0.16424854217092363,0.5,8.097813524970525e-07
306,52.0,91.1,0.0,0.0118,0.16424854217092363,0.75,6.821745577041577e-05
307,52.0,91.1,0.0,0.0118,0.16424854217092363,1.0,0.0006936632309827813
308,52.0,91.1,0.0,0.0118,0.26544998329566,0.25,2.117620435327387e-05
309,52.0,91.1,0.0,0.0118,0.26544998329566,0.5,0.0045896283430898865
310,52.0,91.1,0.0,0.0118,0.26544998329566,0.75,0.03364820168928101
311,52.0,91.1,0.0,0.0118,0.26544998329566,1.0,0.09959397078991007
312,52.0,91.1,0.0,0.0118,0.3874180606791659,0.25,0.0069422967294891485
313,52.0,91.1,0.0,0.0118,0.3874180606791659,0.5,0.13167246029005372
314,52.0,91.1,0.0,0.0118,0.3874180606791659,0.75,0.41848292425866696
315,52.0,91.1,0.0,0.0118,0.3874180606791659,1.0,0.806140734828062
316,52.0,91.1,0.0,0.0118,0.7066863283197075,0.25,0.5642566975449084
317,52.0,91.1,0.0,0.0118,0.7066863283197075,0.5,2.1547113836868963
318,52.0,91.1,0.0,0.0118,0.7066863283197075,0.75,3.866755642313151
319,52.0,91.1,0.0,0.0118,0.7066863283197075,1.0,5.5026047730930845
320,52.0,91.1,0.0,0.0559,0.02776319114275506,0.25,0.0
321,52.0,91.1,0.0,0.0559,0.02776319114275506,0.5,3.3492573135073224e-199
322,52.0,91.1,0.0,0.0559,0.02776319114275506,0.75,3.919571288605269e-140
323,52.0,91.1,0.0,0.0559,0.02776319114275506,1.0,1.1512980499298593e-110
324,52.0,91.1,0.0,0.0559,0.16424854217092363,0.25,1.003202509661885e-12
325,52.0,91.1,0.0,0.0559,0.16424854217092363,0.5,2.9075222753883515e-07
326,52.0,91.1,0.0,0.0559,0.16424854217092363,0.75,2.3330231590658867e-05
327,52.0,91.1,0.0,0.0559,0.16424854217092363,1.0,0.00022650394785982998
328,52.0,91.1,0.0,0.0559,0.26544998329566,0.25,1.4254998372114351e-05
