6250/30000 PDE Loss: 0.04225, BC Loss: 0.03175,                   mse loss: 0.073995, combined loss: 0.09440
6300/30000 PDE Loss: 0.04481, BC Loss: 0.03670,                   mse loss: 0.081506, combined loss: 0.08241
6350/30000 PDE Loss: 0.05141, BC Loss: 0.04773,                   mse loss: 0.099148, combined loss: 0.00148
6400/30000 PDE Loss: 0.56881, BC Loss: 69.90739,                   mse loss: 70.476196, combined loss: -0.92644
6450/30000 PDE Loss: 0.76659, BC Loss: 2.31084,                   mse loss: 3.077425, combined loss: -5.90490
6500/30000 PDE Loss: 21.70938, BC Loss: 16.42394,                   mse loss: 38.133327, combined loss: -5.25624
6550/30000 PDE Loss: 44.77228, BC Loss: 14.80566,                   mse loss: 59.577942, combined loss: -6.08680
6600/30000 PDE Loss: 59.56761, BC Loss: 29.51669,                   mse loss: 89.084297, combined loss: -0.95466
6650/30000 PDE Loss: 11.71896, BC Loss: 5.47431,                   mse loss: 17.193275, combined loss: -0.65445
6700/30000 PDE Loss: 5.77634, BC Loss: 4.83935,                   mse loss: 10.615692, combined loss: -0.74930
6750/30000 PDE Loss: 4.46182, BC Loss: 5.69060,                   mse loss: 10.152424, combined loss: 0.11834
6800/30000 PDE Loss: 17.02274, BC Loss: 18.13725,                   mse loss: 35.159996, combined loss: -0.52081
6850/30000 PDE Loss: 7.29165, BC Loss: 6.27548,                   mse loss: 13.567128, combined loss: 0.67741
6900/30000 PDE Loss: 1.79300, BC Loss: 3.72944,                   mse loss: 5.522440, combined loss: -0.21282
6950/30000 PDE Loss: 2.01581, BC Loss: 9.25522,                   mse loss: 11.271034, combined loss: 0.06199
7000/30000 PDE Loss: 9.74867, BC Loss: 6.75363,                   mse loss: 16.502298, combined loss: -1.01525
7050/30000 PDE Loss: 5.18700, BC Loss: 2.56621,                   mse loss: 7.753203, combined loss: 0.32281
7100/30000 PDE Loss: 3.54889, BC Loss: 1.60839,                   mse loss: 5.157284, combined loss: 0.19967
7150/30000 PDE Loss: 2.62838, BC Loss: 1.13311,                   mse loss: 3.761486, combined loss: 0.22362
7200/30000 PDE Loss: 2.91285, BC Loss: 1.24106,                   mse loss: 4.153916, combined loss: 0.27393
7250/30000 PDE Loss: 3.39814, BC Loss: 1.42758,                   mse loss: 4.825722, combined loss: 0.28696
7300/30000 PDE Loss: 1.97369, BC Loss: 0.93097,                   mse loss: 2.904659, combined loss: 0.24895
7350/30000 PDE Loss: 1.81488, BC Loss: 0.95001,                   mse loss: 2.764894, combined loss: 0.19898
7400/30000 PDE Loss: 0.81599, BC Loss: 0.96885,                   mse loss: 1.784841, combined loss: 0.10702
7450/30000 PDE Loss: 0.63260, BC Loss: 1.64748,                   mse loss: 2.280086, combined loss: 0.14073
7500/30000 PDE Loss: 0.85743, BC Loss: 1.97301,                   mse loss: 2.830438, combined loss: 0.07266
7550/30000 PDE Loss: 1.00262, BC Loss: 0.86397,                   mse loss: 1.866582, combined loss: 0.09401
7600/30000 PDE Loss: 0.60666, BC Loss: 0.40491,                   mse loss: 1.011576, combined loss: -0.01011
7650/30000 PDE Loss: 0.61718, BC Loss: 0.69404,                   mse loss: 1.311221, combined loss: 0.03344
7700/30000 PDE Loss: 2.45123, BC Loss: 211.54001,                   mse loss: 213.991241, combined loss: 475.13452
7750/30000 PDE Loss: 38.22958, BC Loss: 38.38129,                   mse loss: 76.610870, combined loss: 10.66931
7800/30000 PDE Loss: 4.89550, BC Loss: 22.42910,                   mse loss: 27.324598, combined loss: -5.48969
7850/30000 PDE Loss: 6.25334, BC Loss: 12.41145,                   mse loss: 18.664795, combined loss: -2.17318
7900/30000 PDE Loss: 2.05097, BC Loss: 5.32236,                   mse loss: 7.373331, combined loss: 0.51898
7950/30000 PDE Loss: 1.50545, BC Loss: 5.19858,                   mse loss: 6.704027, combined loss: -0.00487
8000/30000 PDE Loss: 0.83002, BC Loss: 4.47490,                   mse loss: 5.304922, combined loss: 0.50904
8050/30000 PDE Loss: 1.34559, BC Loss: 5.94106,                   mse loss: 7.286648, combined loss: -0.00408
8100/30000 PDE Loss: 1.11311, BC Loss: 7.34769,                   mse loss: 8.460806, combined loss: -0.53317
8150/30000 PDE Loss: 1.07033, BC Loss: 7.60583,                   mse loss: 8.676165, combined loss: 0.61868
8200/30000 PDE Loss: 6.23270, BC Loss: 16.15408,                   mse loss: 22.386780, combined loss: -2.83041
8250/30000 PDE Loss: 1.46162, BC Loss: 4.57212,                   mse loss: 6.033733, combined loss: 0.04246
8300/30000 PDE Loss: 1.89253, BC Loss: 4.57616,                   mse loss: 6.468693, combined loss: 0.15042
8350/30000 PDE Loss: 0.46446, BC Loss: 8.59989,                   mse loss: 9.064354, combined loss: 0.31601
8400/30000 PDE Loss: 6.79287, BC Loss: 6.77625,                   mse loss: 13.569119, combined loss: 0.02702
