11350/30000 PDE Loss: 1995461.75000, BC Loss: 5966647.50000,                   mse loss: 7962109.000000, combined loss: 1470754062336.00000
11400/30000 PDE Loss: 124429.63281, BC Loss: 4790939.50000,                   mse loss: 4915369.000000, combined loss: 1019697692672.00000
11450/30000 PDE Loss: 30430.51953, BC Loss: 638400.12500,                   mse loss: 668830.625000, combined loss: 621819789312.00000
11500/30000 PDE Loss: 15747.80762, BC Loss: 138755.81250,                   mse loss: 154503.625000, combined loss: -122181844992.00000
11550/30000 PDE Loss: 1240239.25000, BC Loss: 20513742.00000,                   mse loss: 21753982.000000, combined loss: -656291463168.00000
11600/30000 PDE Loss: 2205419.75000, BC Loss: 1792193.87500,                   mse loss: 3997613.500000, combined loss: -381702537216.00000
11650/30000 PDE Loss: 7697109.50000, BC Loss: 9933781.00000,                   mse loss: 17630890.000000, combined loss: 233397927936.00000
11700/30000 PDE Loss: 12876665.00000, BC Loss: 19498498.00000,                   mse loss: 32375164.000000, combined loss: 384244482048.00000
11750/30000 PDE Loss: 6273315.50000, BC Loss: 3207263.50000,                   mse loss: 9480579.000000, combined loss: 43368161280.00000
11800/30000 PDE Loss: 2610929.00000, BC Loss: 3932396.00000,                   mse loss: 6543325.000000, combined loss: -21781016576.00000
11850/30000 PDE Loss: 2864159.00000, BC Loss: 3891951.00000,                   mse loss: 6756110.000000, combined loss: -312137416704.00000
11900/30000 PDE Loss: 8179934.50000, BC Loss: 4823074.50000,                   mse loss: 13003009.000000, combined loss: -64767541248.00000
11950/30000 PDE Loss: 6079663.00000, BC Loss: 6483788.00000,                   mse loss: 12563451.000000, combined loss: 1890865152.00000
12000/30000 PDE Loss: 5124051.50000, BC Loss: 3079478.75000,                   mse loss: 8203530.000000, combined loss: 36286013440.00000
12050/30000 PDE Loss: 2720714.25000, BC Loss: 782581.75000,                   mse loss: 3503296.000000, combined loss: -36181336064.00000
12100/30000 PDE Loss: 8475881.00000, BC Loss: 4505097.50000,                   mse loss: 12980978.000000, combined loss: -87383769088.00000
12150/30000 PDE Loss: 6511242.00000, BC Loss: 3256532.00000,                   mse loss: 9767774.000000, combined loss: -2429538304.00000
