10000/30000 PDE Loss: 0.00322, BC Loss: 0.00119,                   mse loss: 0.004417, combined loss: 0.09769
10050/30000 PDE Loss: 0.00356, BC Loss: 0.00142,                   mse loss: 0.004977, combined loss: 0.10056
10100/30000 PDE Loss: 0.00308, BC Loss: 0.00098,                   mse loss: 0.004056, combined loss: 0.10083
10150/30000 PDE Loss: 0.00367, BC Loss: 0.00127,                   mse loss: 0.004942, combined loss: 0.10223
10200/30000 PDE Loss: 0.00497, BC Loss: 0.00193,                   mse loss: 0.006892, combined loss: 0.10453
10250/30000 PDE Loss: 0.00350, BC Loss: 0.00129,                   mse loss: 0.004796, combined loss: 0.10633
10300/30000 PDE Loss: 0.00367, BC Loss: 0.00130,                   mse loss: 0.004965, combined loss: 0.09524
10350/30000 PDE Loss: 0.00372, BC Loss: 0.00133,                   mse loss: 0.005058, combined loss: 0.09930
10400/30000 PDE Loss: 0.00366, BC Loss: 0.00133,                   mse loss: 0.004981, combined loss: 0.10288
10450/30000 PDE Loss: 0.00396, BC Loss: 0.00134,                   mse loss: 0.005296, combined loss: 0.10570
10500/30000 PDE Loss: 0.00385, BC Loss: 0.00146,                   mse loss: 0.005312, combined loss: 0.11073
10550/30000 PDE Loss: 0.00386, BC Loss: 0.00139,                   mse loss: 0.005248, combined loss: 0.11284
10600/30000 PDE Loss: 0.00356, BC Loss: 0.00148,                   mse loss: 0.005046, combined loss: 0.11664
10650/30000 PDE Loss: 0.00371, BC Loss: 0.00125,                   mse loss: 0.004960, combined loss: 0.12400
10700/30000 PDE Loss: 0.00361, BC Loss: 0.00133,                   mse loss: 0.004935, combined loss: 0.12992
10750/30000 PDE Loss: 0.00254, BC Loss: 0.00138,                   mse loss: 0.003925, combined loss: 0.15399
10800/30000 PDE Loss: 0.00253, BC Loss: 0.00189,                   mse loss: 0.004420, combined loss: 0.17562
10850/30000 PDE Loss: 0.00238, BC Loss: 0.00228,                   mse loss: 0.004659, combined loss: 0.20461
10900/30000 PDE Loss: 0.00233, BC Loss: 0.00193,                   mse loss: 0.004267, combined loss: 0.23280
10950/30000 PDE Loss: 0.00205, BC Loss: 0.00212,                   mse loss: 0.004174, combined loss: 0.25500
11000/30000 PDE Loss: 0.00212, BC Loss: 0.00235,                   mse loss: 0.004466, combined loss: 0.27543
11050/30000 PDE Loss: 0.00212, BC Loss: 0.00274,                   mse loss: 0.004866, combined loss: 0.29744
11100/30000 PDE Loss: 0.00222, BC Loss: 0.00332,                   mse loss: 0.005534, combined loss: 0.32149
11150/30000 PDE Loss: 0.00242, BC Loss: 0.00364,                   mse loss: 0.006053, combined loss: 0.33092
11200/30000 PDE Loss: 0.00248, BC Loss: 0.00394,                   mse loss: 0.006423, combined loss: 0.34380
11250/30000 PDE Loss: 0.00263, BC Loss: 0.00426,                   mse loss: 0.006896, combined loss: 0.35773
11300/30000 PDE Loss: 0.00289, BC Loss: 0.00456,                   mse loss: 0.007446, combined loss: 0.37573
11350/30000 PDE Loss: 0.00339, BC Loss: 0.00497,                   mse loss: 0.008367, combined loss: 0.39607
11400/30000 PDE Loss: 0.00464, BC Loss: 0.00557,                   mse loss: 0.010212, combined loss: 0.41619
11450/30000 PDE Loss: 0.00515, BC Loss: 0.00564,                   mse loss: 0.010799, combined loss: 0.43425
11500/30000 PDE Loss: 0.00526, BC Loss: 0.00598,                   mse loss: 0.011240, combined loss: 0.46047
11550/30000 PDE Loss: 0.00559, BC Loss: 0.00635,                   mse loss: 0.011933, combined loss: 0.48990
11600/30000 PDE Loss: 0.00617, BC Loss: 0.00685,                   mse loss: 0.013020, combined loss: 0.52221
11650/30000 PDE Loss: 0.00731, BC Loss: 0.00722,                   mse loss: 0.014531, combined loss: 0.55815
11700/30000 PDE Loss: 0.00915, BC Loss: 0.00827,                   mse loss: 0.017418, combined loss: 0.59472
11750/30000 PDE Loss: 0.01248, BC Loss: 0.01024,                   mse loss: 0.022720, combined loss: 0.63777
11800/30000 PDE Loss: 0.02477, BC Loss: 0.03584,                   mse loss: 0.060614, combined loss: 0.42985
11850/30000 PDE Loss: 0.01716, BC Loss: 0.01353,                   mse loss: 0.030694, combined loss: 0.61345
11900/30000 PDE Loss: 0.01547, BC Loss: 0.02244,                   mse loss: 0.037909, combined loss: 0.88397
11950/30000 PDE Loss: 0.02199, BC Loss: 0.02515,                   mse loss: 0.047142, combined loss: 0.80501
12000/30000 PDE Loss: 0.01064, BC Loss: 0.01860,                   mse loss: 0.029246, combined loss: 0.78883
12050/30000 PDE Loss: 0.00767, BC Loss: 0.02361,                   mse loss: 0.031280, combined loss: 0.84220
12100/30000 PDE Loss: 0.00737, BC Loss: 0.01722,                   mse loss: 0.024590, combined loss: 0.82787
12150/30000 PDE Loss: 0.00547, BC Loss: 0.01140,                   mse loss: 0.016866, combined loss: 0.74410
12200/30000 PDE Loss: 0.00774, BC Loss: 0.01025,                   mse loss: 0.017987, combined loss: 0.75174
12250/30000 PDE Loss: 0.00683, BC Loss: 0.00678,                   mse loss: 0.013613, combined loss: 0.95857
12300/30000 PDE Loss: 0.00471, BC Loss: 0.00416,                   mse loss: 0.008864, combined loss: 1.03792
12350/30000 PDE Loss: 0.00267, BC Loss: 0.00329,                   mse loss: 0.005959, combined loss: 1.03663
12400/30000 PDE Loss: 0.00220, BC Loss: 0.00317,                   mse loss: 0.005371, combined loss: 0.92978
12450/30000 PDE Loss: 0.00281, BC Loss: 0.00308,                   mse loss: 0.005894, combined loss: 0.90902
12500/30000 PDE Loss: 0.00378, BC Loss: 0.00292,                   mse loss: 0.006699, combined loss: 0.98924
12550/30000 PDE Loss: 0.00521, BC Loss: 0.00296,                   mse loss: 0.008168, combined loss: 1.06969
12600/30000 PDE Loss: 0.00599, BC Loss: 0.00188,                   mse loss: 0.007871, combined loss: 1.11842
12650/30000 PDE Loss: 0.00634, BC Loss: 0.00237,                   mse loss: 0.008704, combined loss: 1.18241
